citta_uniche,LAT,LON
MONZA,45.5843974,9.2735825
FIRENZE,43.7692112,11.2558881
VENEZIA,45.4349103,12.3384525
LA SPEZIA,44.107035,9.8281895
CASERTA,41.0746018,14.3324002
PALERMO,38.115599,13.3623509
CASSINO,41.4926247,13.8301244
BRINDISI,40.6384255,17.9460157
CHIUSI,43.016703,11.9476196
ANCONA,43.616739,13.5188738
CALTANISSETTA,37.4920259,14.0618427
BELLUNO,46.1383911,12.2170426
FOLIGNO,42.9556643,12.7035851
CIVITAVECCHIA,42.0920861,11.7933771
ALESSANDRIA,44.9129705,8.6154012
NOVARA,45.44589,8.6219159
VARESE,45.8170272,8.8228683
FAENZA,44.2854254,11.8827966
PORTOGRUARO,45.7757764,12.8374106
SAVONA,44.3074927,8.4811088
PARMA,44.8010694,10.3283497
CIAMPINO,41.8028358,12.6016862
PISA,43.7155115,10.4012721
BERGAMO,45.6944223,9.6684246
TREVISO,45.6675545,12.2450742
SARONNO,45.6237471,9.0364046
PERUGIA,43.1067296,12.3882454
COMO,45.8100015,9.0851596
BUSSOLENO,45.1372801,7.1493187
PESARO,43.9101234,12.9134588
FABRIANO,43.3362434,12.9047222
FOSSANO,44.5493897,7.7248703
SIENA,43.3181376,11.3319089
MESSINA,38.1938629,15.5557152
TRIESTE,45.6494447,13.7681374
BARI,41.1255417,16.8673637
SALERNO,40.6781573,14.7593976
ISEO,45.6598374,10.0500441
CUNEO,44.3932857,7.5511719
BRA,44.6981762,7.8547477
SONDRIO,46.1710083,9.8714751
CATANZARO,38.9058909,16.5943952
DOMODOSSOLA,46.1153096,8.2920422
SULMONA,42.0477632,13.9240519
SAPRI,40.0738571,15.6307248
TIVOLI,41.9634531,12.7984664
MORTARA,45.2518398,8.7380653
RAVENNA,44.4172153,12.1991388
CATANIA,37.5027731,15.0870388
PIACENZA,45.0519337,9.6926326
MANTOVA,45.1572685,10.7927737
AREZZO,43.4664037,11.8822873
FOGGIA,41.4622181,15.5430467
PISTOIA,43.9334478,10.9173409
CAGLIARI,39.215227,9.1106162
CREMONA,45.1333671,10.0242087
SACILE,45.95429,12.5030375
LUCCA,43.8443042,10.5015132
PESCARA,42.4645468,14.2136453
FERRARA,44.8359872,11.6186892
CHIVASSO,45.1885564,7.8871395
VELLETRI,41.6863324,12.7771939
VICENZA,45.5475038,11.5459714
MODENA,44.6459934,10.9261547
PAVIA,45.1850937,9.1601572
ORTE,42.4604068,12.3863899
LIVORNO,43.5523257,10.3086776
PADOVA,45.4069347,11.8760874
COSENZA,39.2930066,16.2560903
CROTONE,39.0802866,17.125383
PONTREMOLI,44.3773761,9.8829482
GROSSETO,42.7602332,11.1135628
MACERATA,43.3002138,13.45307
BIELLA,45.5665179,8.0540821
TRENTO,46.0689495,11.1212315
MANIAGO,46.1710618,12.7081682
PINEROLO,44.8873317,7.3320011
FROSINONE,41.6395961,13.3511683
TREVIGLIO,45.5217708,9.59265
BRESCIA,45.5399369,10.2191034
TARANTO,40.4734845,17.2323685
