stazPart,stazArr
FIRENZE,PISTOIA
PUNTA,PALERMO
VENEZIA,PORTOGRUARO
VENEZIA,TREVISO
FIRENZE,PISA
LA SPEZIA,SESTRI
CASERTA,FORMIA-GAETA
PALERMO,PUNTA
BRINDISI,BARI
ANCONA,FOLIGNO
CALTANISSETTA,DITTAINO
BELLUNO,FELTRE
S.BENEDETTO,ANCONA
FOLIGNO,PERUGIA
CHIUSI,SIENA
NOVARA,CHIVASSO
STABIO,BUSTO
VARESE,STABIO
PALERMO,PUNTA
PORTOGRUARO,VENEZIA
CASERTA,CASSINO
SAVONA,GENOVA
CIAMPINO,VELLETRI
PISA,FIRENZE
PALERMO,PUNTA
TREVISO,VENEZIA
M,MALPENSA
PERUGIA,FOLIGNO
PIAZZA,AULLA
FIRENZE,PONTASSIEVE
VARESE,PORTO
CIAMPINO,ALBANO
COMO,CHIASSO
SESTRI,SARZANA
NOVI,GENOVA
M,MALPENSA
PESARO,ANCONA
CHIASSO,COMO
FABRIANO,ANCONA
SIENA,EMPOLI
MESSINA,S.AGATA
PORTOGRUARO,VENEZIA
TRIESTE,VENEZIA
PALERMO,CEFALU`
BARI,FOGGIA
SALERNO,CASERTA
FIRENZE,LIVORNO
FIRENZE,AREZZO
CALTANISSETTA,ROCCAPALUMBA-ALIA
CALTANISSETTA,DITTAINO
SIBARI,COSENZA
ISEO,BRESCIA
SONDRIO,TIRANO
CATANZARO,LAMEZIA
FABRIANO,MACERATA
SULMONA,PESCARA
BELLUNO,FELTRE
LAMEZIA,CATANZARO
LA SPEZIA,PONTREMOLI
CASSINO,FROSINONE
MORTARA,CASALE
MORTARA,MI.P.GENOVA
REGGIO,MELITO
RAVENNA,CASTELBOLOGNESE
RAVENNA,RIMINI
CATANIA,ALCANTARA
SIENA,BUONCONVENTO
MANTOVA,MODENA
AREZZO,FIRENZE
BORGO,FIRENZE
FOGGIA,BARI
FOGGIA,SAN
PISTOIA,FIRENZE
CAGLIARI,IGLESIAS
CAGLIARI,SAN
MESSINA,MILAZZO
CREMONA,BRESCIA
SACILE,UDINE
LUCCA,FIRENZE
LUCCA,LIVORNO
BOLZANO,FORTEZZA
BOLZANO,MERANO
PALERMO,PUNTA
PORTOGRUARO,TRIESTE
PESCARA,TERMOLI
PESCARA,TERAMO
FERRARA,RAVENNA
CHIVASSO,PINEROLO
CHIVASSO,IVREA
REGGIO,CIANO
CIAMPINO,ALBANO
PALERMO,PUNTA
PALERMO,PALERMO
VICENZA,VENEZIA
ANCONA,PESARO
ANCONA,CASTELPLANIO
LA SPEZIA,PISA
BARI,FASANO
MODENA,SASSUOLO
ALESSANDRIA,MI.P.GENOVA
ALESSANDRIA,VOGHERA
ALESSANDRIA,ASTI
TREVISO,MONTEBELLUNA
TREVISO,VENEZIA
PAVIA,ALESSANDRIA
PAVIA,VERCELLI
PAVIA,MORTARA
ORTE,FIUMICINO
LIVORNO,FIRENZE
SALERNO,NOCERA
PADOVA,VENEZIA
M,MALPENSA
NOVATE,MALPENSA
MALPENSA,M
FIRENZE,PISTOIA
ROCCELLA,LOCRI
COSENZA,SIBARI
CROTONE,SIBARI
CUNEO,LIMONE
CUNEO,FOSSANO
PIACENZA,VOGHERA
PONTREMOLI,LA SPEZIA
GROSSETO,ORBETELLO
MACERATA,CIVITANOVA
ORTE,CHIUSI
MORTARA,NOVARA
BIELLA,SANTHIA`
SANTHIA`,BIELLA
STABIO,BUSTO
VARESE,STABIO
S.AGATA,MESSINA
MESSINA,GIAMPILIERI
CREMONA,FIDENZA
CREMONA,BOZZOLO
TRENTO,ALA
MANIAGO,SACILE
LUCCA,VIAREGGIO
PUNTA,PALERMO
PALERMO,PUNTA
PALERMO,PALERMO
PALERMO,GIACHERY
CASARSA,PORTOGRUARO
PORTOGRUARO,CASARSA
PINEROLO,CHIVASSO
RIVAROLO,CHIERI
FIRENZE,PRATO
S.AGATA,PALERMO
PALERMO,TERMINI
VICENZA,SCHIO
COMO,CHIASSO
TREVIGLIO,BERGAMO
BRESCIA,BERGAMO
TARANTO,BARI
FASANO,BARI
BARI,BITRITTO
MODENA,CARPI
ALESSANDRIA,ARQUATA
PIADENA,PARMA
PARMA,BERCETO
BIELLA,NOVARA
MONTEBELLUNA,TREVISO
LIVORNO,PONTEDERA
PISA,LUCCA
SALERNO,MERCATO
MONTEBELLUNA,PADOVA
LECCO,MONZA
M,VARESE
M,COMO
MARIANO,M
M,CAMNAGO
NOVATE,M
M,MALPENSA
M,SARONNO
COMO,M
VARESE,M
SARONNO,M
MALPENSA,M
SEVESO,M
FIRENZE,EMPOLI
BASSANO,VENEZIA
VENEZIA,VENEZIA
PIAZZA,AULLA
TARANTO,BRINDISI
CASALE,MORTARA
ORISTANO,CAGLIARI
PIAZZA,LUCCA
ALBANO,CIAMPINO
TREVIGLIO,BERGAMO
ACQUI,GENOVA
SIBARI,CATANZARO
CHIUSI,FIRENZE
REGGIO,CATANZARO
UDINE,VENEZIA
LA SPEZIA,FIRENZE
GENOVA,LA SPEZIA
OLBIA,MACOMER
ISEO,EDOLO
PAOLA,REGGIO
BELLUNO,VENEZIA
LAMEZIA,REGGIO
PESCARA,ANCONA
TERNI,L`AQUILA
LECCE,BARI
CHIUSI,FIRENZE
CATANIA,TAORMINA
CATANIA,MESSINA
SIENA,FIRENZE
VARESE,TREVIGLIO
FOGGIA,POTENZA
CAGLIARI,CARBONIA
MESSINA,CATANIA
