stazPart,stazArr
MONZA,MILANO
BOLOGNA,FERRARA
BOLOGNA,FAENZA
FIRENZE,PISTOIA
PUNTA,PALERMO
VENEZIA,PORTOGRUARO
VENEZIA,TREVISO
MILANO,BRESCIA
FIRENZE,PISA
LA SPEZIA,SESTRI
BOLOGNA,PARMA
MILANO,VOGHERA
CASERTA,FORMIA-GAETA
PALERMO,PUNTA
ROMA,VELLETRI
NOVATE,MILANO
CASSINO,ROMA
BRINDISI,BARI
CHIUSI,ROMA
ANCONA,FOLIGNO
CALTANISSETTA,DITTAINO
BELLUNO,FELTRE
S.BENEDETTO,ANCONA
FOLIGNO,PERUGIA
CHIUSI,SIENA
CIVITAVECCHIA,ROMA
ALESSANDRIA,TORINO
NOVARA,CHIVASSO
STABIO,BUSTO
VARESE,STABIO
FAENZA,BOLOGNA
PALERMO,PUNTA
PORTOGRUARO,VENEZIA
CASERTA,CASSINO
SAVONA,GENOVA
PARMA,BOLOGNA
TORINO,TORINO
CIAMPINO,VELLETRI
PISA,FIRENZE
PALERMO,PUNTA
BERGAMO,MILANO
TREVISO,VENEZIA
NAPOLI,VILLA
NAPOLI,FORMIA-GAETA
M,MALPENSA
SARONNO,MILANO
ROMA,FIUMICINO
ROMA,GUIDONIA-MONTECELIO-S.ANGELO
PERUGIA,FOLIGNO
PIAZZA,AULLA
FIRENZE,PONTASSIEVE
VARESE,PORTO
ROMA,FIUMICINO
TORINO,TORINO
CIAMPINO,ALBANO
CIAMPINO,ROMA
COMO,CHIASSO
SESTRI,SARZANA
NAPOLI,POZZUOLI
NOVI,GENOVA
BUSSOLENO,TORINO
SARONNO,MILANO
M,MALPENSA
SESSA,ROMA
PESARO,ANCONA
CHIASSO,COMO
NAPOLI,ROMA
FABRIANO,ANCONA
FOSSANO,TORINO
SIENA,EMPOLI
MESSINA,S.AGATA
PORTOGRUARO,VENEZIA
TRIESTE,VENEZIA
PALERMO,CEFALU`
BARI,FOGGIA
NAPOLI,ROMA
TORINO,SUSA
SALERNO,NAPOLI
SALERNO,CASERTA
FIRENZE,LIVORNO
FIRENZE,BOLOGNA
FIRENZE,AREZZO
ROMA,MINTURNO
CALTANISSETTA,ROCCAPALUMBA-ALIA
CALTANISSETTA,DITTAINO
SIBARI,COSENZA
ISEO,BRESCIA
CUNEO,TORINO
BRA,TORINO
SONDRIO,TIRANO
CATANZARO,LAMEZIA
DOMODOSSOLA,MILANO
FABRIANO,MACERATA
SULMONA,PESCARA
BELLUNO,FELTRE
LAMEZIA,CATANZARO
LA SPEZIA,PONTREMOLI
SAPRI,NAPOLI
CASSINO,FROSINONE
POGGIO,BOLOGNA
TIVOLI,ROMA
MORTARA,CASALE
MORTARA,MI.P.GENOVA
REGGIO,MELITO
CIVITAVECCHIA,ROMA
RAVENNA,CASTELBOLOGNESE
RAVENNA,RIMINI
CATANIA,ALCANTARA
PIACENZA,MILANO
SIENA,BUONCONVENTO
MANTOVA,MODENA
AREZZO,FIRENZE
BORGO,FIRENZE
PORTO,MILANO
FOGGIA,BARI
FOGGIA,SAN
PISTOIA,FIRENZE
CAGLIARI,IGLESIAS
CAGLIARI,SAN
MESSINA,MILAZZO
CREMONA,BRESCIA
SACILE,UDINE
LUCCA,FIRENZE
LUCCA,LIVORNO
BOLZANO,FORTEZZA
BOLZANO,MERANO
PALERMO,PUNTA
PORTOGRUARO,TRIESTE
PESCARA,TERMOLI
PESCARA,TERAMO
FERRARA,RAVENNA
CASERTA,NAPOLI
CHIVASSO,PINEROLO
CHIVASSO,IVREA
REGGIO,CIANO
TORINO,FOSSANO
TORINO,CUNEO
ROMA,COLLEFERRO-SEGNI-PALIANO
VELLETRI,ROMA
ROMA,VELLETRI
CIAMPINO,ALBANO
PALERMO,PUNTA
PALERMO,PALERMO
VICENZA,VENEZIA
ANCONA,PESARO
ANCONA,CASTELPLANIO
CHIASSO,MILANO
LA SPEZIA,PISA
BARI,FASANO
MODENA,SASSUOLO
ALESSANDRIA,MI.P.GENOVA
ALESSANDRIA,VOGHERA
ALESSANDRIA,ASTI
NOVARA,MILANO
TREVISO,MONTEBELLUNA
TREVISO,VENEZIA
MILANO,BERGAMO
PAVIA,ALESSANDRIA
PAVIA,VERCELLI
PAVIA,MORTARA
PAVIA,MILANO
ROMA,CESANO
NAPOLI,CASTELLAMMARE
NAPOLI,NAPOLI
NAPOLI,NAPOLI
NAPOLI,POZZUOLI
ORTE,FIUMICINO
LIVORNO,FIRENZE
NAPOLI,CASERTA
NAPOLI,CASERTA
TORINO,BARDONECCHIA
TORINO,IVREA
SALERNO,NOCERA
PADOVA,VENEZIA
MILANO,LODI
MILANO,LECCO
MILANO,PONTE
MILANO,MILANO
M,MALPENSA
NOVATE,MALPENSA
MALPENSA,M
FIRENZE,PISTOIA
BOLOGNA,PRATO
BOLOGNA,VIGNOLA
ROMA,NETTUNO
ROMA,FIUMICINO
ROMA,TIVOLI
ROMA,ALBANO
ROCCELLA,LOCRI
COSENZA,SIBARI
CROTONE,SIBARI
CUNEO,LIMONE
CUNEO,FOSSANO
